;H000;;KN00BL
;H012;;KP51JT,KP51KT
;H014;;KO95EP,KO95EQ
;H015;;KO04JN
;H017;;MP12OV
;H020;;LN03PN
;H021;;LP81RN,LP81SN
;H024;;KP54BM
;H025;;KO04HJ
;H027;;LN13LE
;H029;;JO94WP
;H030;;KP52KG
;H031;;KO85TO
;H034;;KO95SC
;H037;;KO36XV
;H039;;KO64AP
;H040;;LN09FW
;H041;;KO91PK
;H042;;KO95HV
;H043;;KO86VI
;H044;;LO12JP
;H045;;KO46DK
;H046;;LO04OO
;H048;;KO86JH
;H050;;KP40IT
;H055;;LN13IH
;H082;;KO14AI
;H086;;NP02DL
;H087;;LO16LL
;H088;;KO49AP
;H091;;KO85SS
;H095;;MP87GL
;H099;;KO73BH
;H103;;KO37VJ
;H105;;KO86PE
;H113;;KO54QQ
;H116;;KO80IQ
;H118;;KO46DF
;H120;;KO64PD
;H121;;LO16QG,LO16RG
;H124;;KP40IX
;H125;;LN03TH
;H126;;KO64QV
;H127;;KO64RV
;H130;;KO87DR
;H131;;KO04MM
;H132;;MO16GU
;H135;;KO89XH
;H137;;KO54TP
;H138;;KO37UK
;H139;;MO05IC
;H140;;LN03KP
;H142;;LO16LJ
;H143;;MO05JC
;H146;;KO37VB
;H147;;KO75WO
;H148;;KO04MP
;H149;;KO49BL
;H150;;LO95UF
;H153;;LO14KB
;H154;;KO49AL
;H156;;KP40IU
;H158;;KP41XL,KP41XM
;H159;;KP53QD
;H160;;KP46TW
;H161;;KP51CU
;H162;;KP53GT
;H163;;KP53GS
;H165;;KO98BF
;H166;;KO14CM
;H167;;KP40MX
;H168;;KP52TU
;H174;;KO70SM,KO70TM
;H175;;KP46UI
;H177;;MO05BJ
;H178;;KO14CN
;H179;;KP51FX
;H183;;KO85SX
;H184;;LO06PJ
;H185;;KN93TP
;H186;;KO87MO
;H188;;LN22HU
;H189;;KP40BP
;H190;;LP00DX
;H192;;KP52MI
;H193;;KO95TW
;H195;;MO06LR
;H196;;KO49PX
;H197;;KO46DT,KO46DU
;H198;;KO92JS
;H201;;KO95UN
;H202;;LO86VO
;H204;;KO14FS
;H206;;KO37VV
;H208;;LO26BE
;H209;;KO39VA
;H210;;KP52HC
;H212;;KP51DV
;H214;;MO04SE
;H215;;KO39XG
;H216;;KP52RN
;H217;;KP52TR
;H218;;KP46PX
;H219;;LO16KI
;H221;;KO05QH
;H222;;KO49BS
;H224;;KP41WG
;H225;;KP55AB
;H226;;KP40FU
;H227;;LO99OM
;H229;;MO05HA
;H230;;MO05HB
;H231;;KO37SS
;H232;;KP41SL
;H234;;KO85MS
;H235;;KO47RW
;H238;;KP45XD
;H240;;KP53OJ
;H243;;JO94WK
;H244;;KP51QU
;H246;;KO91SA
;H248;;KO49FT
;H249;;KP51UX
;H250;;KO84OB
;H253;;KO49FJ
;H255;;KO95GG
;H256;;KO95LV
;H257;;KO91NO
;H258;;LO28JL
;H261;;KP51GX
;H263;;KP41PG
;H264;;KO14IT
;H265;;KO73BF
;H266;;MO05WH
;H267;;KP54DI
;H270;;MO04UC,MO04UD
;H274;;KP40CS
;H275;;KP41NE
;H277;;KO83HG
;H281;;KO85IJ
;H282;;KO69QC
;H283;;KO91EN
;H284;;LO96QQ
;H287;;KO91PN
;H289;;KP54HD
;H290;;KO91OH
;H292;;KO86TE
;H294;;LO48HH
;H300;;LO00BD
;H301;;KP53EV
;H302;;KP54DJ
;H303;;KO04DJ
;H304;;KO49BM
;H309;;KP30VK
;H310;;KP30VA
;H311;;KP40EA
;H312;;KP30TE,KP30TF
;H315;;KP41LD
;H316;;KP40GW
;H318;;KP41TL
;H321;;KO37SQ
;H322;;KP56CG
;H324;;KP59FK,KP59GK
;H325;;KO76PW
;H326;;MO05JP
;H328;;KO04EL
;H330;;KP52ST
;H334;;KP52PM
;H336;;KO94TW
;H337;;KP55FO
;H339;;KO99AC
;H340;;KP53KJ
;H341;;KP54BT
;H343;;KP30XP
;H344;;KP40FT
;H347;;KP40DU
;H349;;KO91MP
;H350;;KO46CQ,KO46DQ
;H352;;KO04MQ
;H353;;KO62RW
;H356;;LO31CL
;H357;;KO14DQ
;H359;;KP59DA
;H361;;KO83QV
;H362;;KO58TM
;H363;;LO04TD
;H364;;MO25NN
;H367;;KP55AX
;H368;;KO38SF
;H369;;LO16PH
;H370;;KO37XB
;H371;;KP52GB
;H373;;KP41UN
;H374;;KP41VO
;H375;;KP53JT
;H376;;LN22CS
;H378;;KP48QE
;H379;;KO14KS
;H382;;KO96RC
;H383;;KP54HB
;H384;;KO98JA
;H385;;KO94UO
;H387;;KP51CM
;H388;;LO04WI
;H389;;LO14PW
;H390;;MO06GR
;H391;;KP48LN
;H392;;KP41KC
;H394;;KO36UV
;H396;;KO97VK
;H398;;KO97RW
;H399;;KP40IG
;H401;;MO05GC
;H403;;KP55NU
;H405;;KO93ST
;H406;;KO54VT
;H407;;KP55RT
;H408;;KO64AQ
;H410;;KO86ME
;H411;;KO04HQ
;H412;;KP41ME
;H413;;JO94XR
;H416;;KO85RN
;H422;;KO58QA
;H423;;LO01EL
;H428;;LO06FK
;H429;;KP63DD,KP63ED
;H430;;KP41RJ
;H432;;JO94XK
;H434;;KO85PA
;H436;;KP56CB
;H438;;MO05GC
;H439;;MO05JA
;H440;;KP40BR
;H442;;LN03VM
;H443;;KP52LG
;H444;;LO04OV
;H446;;MO04JW
;H447;;KP55DM
;H450;;KO85XB
;H451;;KO68KO
;H453;;KO14HV
;H454;;KP30WN
;H455;;LO19JX
;H456;;KO36XT,KO46AT
;H459;;KO84QF
;H461;;KP53GP
;H464;;LN13LJ
;H465;;MO06LC
;H467;;KO77MU
;H468;;KO77NW
;H470;;KO37WE
;H471;;KO05SD
;H472;;KP40IQ
;H473;;KP46UM
;H475;;KO49DP
;H476;;KO54VS
;H477;;LN13AH
;H478;;LO16HJ
;H479;;KP55DL
;H480;;KP41UF
;H482;;LN22HT
;H483;;KO57ND
;H485;;KP53RA
;H486;;LN13CI
;H487;;MO05GC
;H489;;KO85OU
;H490;;LN13NF
;H491;;KO14IK
;H493;;KO15EB
;H495;;KN97TF
;H497;;KP53PF
;H498;;MO16XA
;H499;;MO16UD
;H500;;KO85UJ
;H506;;LO06RT
;H509;;KP41VK
;H510;;KN94KF
;H512;;KN84VQ
;H522;;KO14JV
;H523;;MP67IT
;H524;;KO38UE
;H528;;KO04KP
;H532;;KO04XJ
;H533;;KO14AK
;H537;;LN22JS
;H551;;MP66OR
;H554;;KO04NM
;H555;;JO94XR
;H558;;MO05GC,MO05GD
;H559;;MP65SF
;H560;;KO04AS
;H561;;LO08SK
;H562;;KP40DT
;H563;;KO37TT
;H566;;MO15IG
;H568;;KP53NH
;H569;;MO16RQ,MO16RR
;H573;;KP53RC
;H576;;KO85PS
;H577;;KO04CW
;H581;;KO85VP
;H583;;JO94VR
;H584;;KO85PX
;H592;;KP53HV,KP53IV
;H602;;KO85WW
;H605;;LO53GB
;H606;;LO52DW
;H607;;KP62IQ
;H608;;LO53DM
;H609;;LO62IO,LO62JO
;H610;;LO62JN,LO62JO
;H611;;LO62JN,LO62KN
;H612;;LO64FU
;H613;;LO74BC
;H614;;LO74LG
;H615;;LO53DW
;H616;;KO95KB
;H617;;LO23OC
;H618;;MO05GC
;H620;;LO77GP,LO77GQ
;H621;;LO66UL
;H622;;MO04MV,MO04MW
;H623;;MO06JK
;H624;;KO81JB
;H625;;KO04HL
;H627;;KO86PB
;H628;;KP45VG
;H629;;KP53OG
;H631;;KP48GM
;H633;;KO38VQ
;H634;;KP55DE
;H635;;KP54DL
;H636;;KO15AA
;H637;;KO70WT
;H638;;KO65FB
;H640;;LO26QU,LO26RU
;H641;;KP40IW
;H642;;KP53IM
;H643;;KO84BK
;H644;;KP40AP
;H646;;KP54BP
;H647;;KP46VG
;H648;;KP40GO
;H649;;KO04JN
;H652;;LN22BP
;H656;;MP82RC
;H661;;KO04FQ
;H663;;KO46FG
;H667;;LO26AH
;H672;;MP22RF
;H688;;LO01DD
;H697;;LP93XE
;H698;;KO05VB,KO05VC
;H701;;LO01AK
;H709;;KO04LP
;H710;;LO16OP
;H711;;KO96KE
;H713;;LO26BG
;H714;;KN93VO
;H715;;LO97XW
;H717;;KO86RX
;H719;;KO87RA
;H720;;KO85PG
;H721;;KO85NH
;H724;;KO38VO
;H726;;LN22GT
;H731;;LO06IL
;H738;;KN97XO
;H745;;KN85HE
;H747;;JO94XW,JO94XX
;H748;;LN22LT
;H749;;LN22JW
;H758;;LN13GG
;H780;;KO14IR
;H790;;LO06BA
;H798;;LN22DT
;H808;;KO04FR
;H817;;JO94XS
;H820;;KO04ES
;H821;;KO84SI
;H825;;KO85NS
;H829;;KO95HQ
;H834;;KP40AN
;H835;;KO76MN
;H841;;KO79CW
;H845;;KO80JJ
;H858;;KO14II
;H859;;KO65WF,KO65XF
;H865;;KO14EN
;H883;;KO47EU
;H939;;KO89AD
;H945;;KO85QV
;HA01;;LO16SC
;HA02;;KO85JD
;HA04;;LO40GD
;HA05;;LO01UD
;HA07;;MP89KC
;HA08;;PQ43JD
;HA09;;PQ42NN
;HA0A;;KO85KN
;HA0B;;QN16CA
;HA0C;;KO37QO
;HA0E;;KO71UB
;HA0F;;MQ53AH
;HA0G;;MQ53AH
;HA0H;;KP30LC
;HA0J;;KO71RH
;HA0K;;KO76UT
;HA0L;;KO77RV
;HA0O;;PQ61JW
;HA0P;;PN65RO
;HA0Q;;PQ42NA
;HA0R;;LO31ET
;HA0S;;KO66OV
;HA0T;;MO05FA
;HA0V;;LQ70DS
;HA0W;;KO95AS
;HA0X;;KO86HP
;HA0Y;;LO03VP
;HA0Z;;NQ03GM
;HA10;;KO54XU
;HA13;;MQ62JJ
;HA14;;KO74UP
;HA16;;KO86MR
;HA17;;KO94XP
;HA18;;PQ23FW
;HA19;;KO85AC,KO85AD
;HA1A;;NQ55OP
;HA1B;;KO92EO
;HA1C;;LO33AC
;HA1D;;KO86IQ
;HA1E;;LO41DI
;HA1I;;KO85QU
;HA1J;;MP68SM
;HA1O;;KO37UJ
;HA1P;;KO67OC
;HA1Q;;MQ31KE
;HA1R;;MQ31KE
;HA1T;;QN35VA
;HA1U;;LO16SO
;HA1V;;QN23VX,QN24VA
;HA1W;;LO26AH
;HA1X;;LO01WJ
;HA1Y;;LP27OQ
;HA1Z;;MO98SM
;HA21;;KO85LR
;HA22;;KO96DA
;HA25;;LO82RS
;HA26;;LO03FW
;HA27;;KO87VC
;HA28;;MP27IW
;HA2A;;KO69AM
;HA2B;;MP27AN
;HA2D;;KO87HJ
;HA2E;;LP27AP,LP27BP
;HA2F;;KO96OC
;HA2G;;LP49QL
;HA2H;;KO86RX
;HA2I;;KO71KK
;HA2J;;KO38UW
;HA2K;;KO94XR
;HA2L;;QN67DD
;HA2N;;QN35WF
;HA2P;;LN03DQ
;HA2Q;;LO07FP
;HA2S;;KO84RS
;HA2T;;LQ62II
;HA2V;;LO46TS
;HA2X;;LP06XH
;HA2Y;;KO95AV
;HA2Z;;KO86FP
;HA31;;LQ80SR
;HA32;;LQ80TR
;HA33;;LP52BI
;HA34;;NQ34BT
;HA35;;KO85QU
;HA38;;KO77LE
;HA39;;KO74VW
;HA3A;;MP25IJ,MP25IK
;HA3B;;LO93HT
;HA3D;;KO86PI
;HA3E;;LQ75XE
;HA3G;;KO95AT
;HA3H;;KO85KX
;HA3J;;LP22DJ
;HA3K;;LP01DP
;HA3M;;KO67ND
;HA3N;;KO66IW
;HA3O;;KO66HX
;HA3P;;LQ73EG
;HA3R;;LQ63PC
;HA3S;;MQ06DC
;HA3T;;KO85UL
;HA3U;;MP47GX
;HA3X;;PQ12FX
;HA3Z;;KO95QX
;HA40;;MO05HA
;HA42;;KO83AA
;HA43;;KO91OQ
;HA45;;KO71OI
;HA46;;KO95JA
;HA47;;MQ31JC
;HA48;;MQ31JC
;HA4A;;LO08DK
;HA4B;;KO86PS
;HA4C;;LO07PI
;HA4D;;KO95ID
;HA4E;;KO76XT
;HA4F;;KO84BM
;HA4G;;KO97QE
;HA4H;;MQ16IF
;HA4J;;KP40HR
;HA4K;;KO67KG
;HA4L;;KO94SV
;HA4M;;KO86ME
;HA4N;;LO22DL
;HA4O;;LQ73IJ,LQ73JJ
;HA4P;;LO04TA
;HA4Q;;KO84RG
;HA4R;;QN79IK
;HA4T;;KO86GO
;HA4U;;KO86RF
;HA4W;;KO64BS
;HA4X;;LO16NJ
;HA4Y;;LO15AC
;HA4Z;;KN93XK
;HA50;;KO86XD
;HA51;;KO67ME
;HA52;;OQ18PE
;HA56;;KP51IQ
;HA57;;KO85TN
;HA58;;KO85XU
;HA5A;;LO17DM
;HA5B;;NQ45IJ,NQ45JJ
;HA5C;;LQ63XG
;HA5D;;KO86ER
;HA5E;;PN53SA
;HA5F;;KO66JQ
;HA5H;;KO85LL
;HA5I;;MQ70BJ
;HA5J;;PQ02XM
;HA5K;;MP17VH
;HA5L;;LP98XQ
;HA5M;;MQ51VL
;HA5P;;PQ32MO
;HA5Q;;KO85OM
;HA5S;;KO84WV,KO84WU
;HA5T;;MP29LG
;HA5V;;MP29LF
;HA5W;;KO87QB
;HA5X;;NQ96MF
;HA5Y;;MP48RV
;HA61;;LP98BU
;HA62;;KO36VX
;HA63;;LQ90ML
;HA64;;KO95BO
;HA65;;LP81PD
;HA67;;LP14WQ
;HA68;;KO85OQ
;HA69;;KO85WS
;HA6A;;KO67FG
;HA6B;;LO43NJ
;HA6C;;KO77HN
;HA6E;;LO15CJ
;HA6F;;LO15BI
;HA6G;;KO88PP
;HA6H;;KO91NS
;HA6J;;MP09JT
;HA6M;;KO84PR
;HA6N;;LO16LJ
;HA6O;;KO87GB
;HA6P;;KO86GM
;HA6R;;KO74FM
;HA6S;;KO86TC
;HA6U;;MQ46GW
;HA6V;;MQ46EW
;HA6W;;KO85XH
;HA6X;;KO37SL
;HA6Y;;KO82FC
;HA73;;LN14LB
;HA74;;NO14LU,NO14LV
;HA75;;KO98EB
;HA76;;NO15OE
;HA77;;MP64EQ
;HA78;;MP31TG,MP31UG
;HA79;;MP21QJ
;HA7B;;PO56IE
;HA7C;;MP40LH
;HA7D;;MO38HI
;HA7E;;MP77RU
;HA7F;;PP50JJ
;HA7G;;MP75RM
;HA7H;;MP22WM
;HA7I;;MO37HT
;HA7J;;MP72FI
;HA7K;;QP56FI,QP56GI
;HA7L;;MP40SX
;HA7M;;MO38PS
;HA7N;;MP73VF
;HA7O;;MP40NX
;HA7P;;MP03FB,MP03FC
;HA7Q;;MO19UL
;HA7R;;MP24MV
;HA7S;;PP15TX,PP16TA
;HA7T;;MP40ST,MP40TT
;HA7U;;MP85NJ
;HA7V;;MP94TV
;HA7W;;LN06KC
;HA7X;;PP26LP,PP26LQ
;HA7Y;;MP41HB
;HA7Z;;OP61NT
;HA80;;MP46BU
;HA82;;PP32MS
;HA83;;PP25BG
;HA84;;NP01JB
;HA85;;MO49XX
;HA86;;MP32OE
;HA87;;MP60JS
;HA88;;MP81OC
;HA89;;PO56MD,PO56ME
;HA8A;;MP40VJ
;HA8B;;MP32HG
;HA8C;;MP91PM
;HA8E;;MP91RA
;HA8F;;MP80JR
;HA8G;;PP30FQ
;HA8H;;OP61KJ
